base_choice_scores,base_correct,base_margin,base_predicted_label,candidate_correct,candidate_margin,candidate_predicted_label,candidate_residual_scores,context_preview,example_id,gold_label,gold_text,oracle_alpha,oracle_alpha_choice_scores,oracle_alpha_correct,oracle_alpha_margin,oracle_alpha_predicted_label,oracle_alpha_selection_reason,oracle_best_of_two_correct,oracle_best_of_two_source,screening_bucket
"[-39.140499114990234, -47.60291290283203]",False,-8.462413787841797,A,False,-8.463363647460938,A,"[0.0011867040302604437, 0.00023664068430662155]","Joey's little sister was bugging him. He thought it might be funny to trip her. He tripped her, and she started crying. Their mom ran into the room.",199c6b70-7344-4879-96f0-33d97c3ff03e,B,Joey spent the afternoon alone in his room grounded from friends.,-4096.0,"[-44.00123882293701, -48.57219314575195]",False,-4.570954322814941,A,best_margin_when_all_wrong,False,A,stubborn_wrong_story_context
"[-18.95684242248535, -5.566458225250244]",False,-13.390384197235107,B,False,-13.383417129516602,B,"[0.011415263637900352, 0.00444821547716856]",Last week I ran into the cutest girl ever. We were both at the grocery store and our eyes met. I mustered up the courage to ask for her number. She said no.,1aa76d42-75e0-4dad-b03a-b934cc538d7f,A,I went on about my day.,2048.0,"[4.42161750793457, 3.543487071990967]",True,0.8781304359436035,A,correct_min_abs,False,A,improving_but_unflipped
"[-18.31676483154297, -20.32265853881836]",False,-2.0058937072753906,A,False,-2.0174999237060547,A,"[0.0065120551735162735, -0.005094040185213089]",Cindy need a pedicure. She went to the local nail salon. The stylist massaged her feet. They also filed her toes.,23255b83-0569-4621-a87e-88c306b6f16a,B,She chose a bright pink color for her polish.,-256.0,"[-19.983850955963135, -19.01858425140381]",True,0.9652667045593262,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-14.470638275146484, -12.020975112915039]",False,-2.4496631622314453,B,False,-2.462906837463379,B,"[0.0024084383621811867, 0.015651851892471313]",Janet worked hard to train for her wrestling meet. When she got there her opponent seemed game. They both tried their hardest. It ended in a tie.,298e28f7-11bc-4006-a979-1a8136466e1b,A,Janet was content with the result of the match.,-256.0,"[-15.087198495864868, -16.027849197387695]",True,0.9406507015228271,A,correct_min_abs,False,A,improving_but_unflipped
"[-18.216121673583984, -10.490358352661133]",False,-7.725763320922852,B,False,-7.720817565917969,B,"[0.011331228539347649, 0.006386203691363335]",Jim worked at the local coffee shop. He was the best barista in town. He always made sure his customers had the best drinks. Jim's boss saw him working one day and was impressed.,29abf924-4ded-4358-ab47-ea182ebf5542,A,Jim got a promotion for doing such a good job.,2048.0,"[4.990234375, 2.5885868072509766]",True,2.4016475677490234,A,correct_min_abs,False,A,improving_but_unflipped
"[-27.588350296020508, -17.608957290649414]",False,-9.979393005371094,B,False,-9.983320236206055,B,"[0.0048720380291342735, 0.008797772228717804]","Brian was cold. He decided to turn on the heat in his house. When the heat came on, it smelled like something was burning. Brian called the service man.",2be6403f-0762-40c2-b33e-c62dfddb1977,A,He was able to repair the heater at a fair price.,-4096.0,"[-47.54421806335449, -53.64463233947754]",True,6.100414276123047,A,correct_min_abs,False,A,stubborn_wrong_other
"[-38.096038818359375, -22.766948699951172]",False,-15.329090118408203,B,False,-15.32851791381836,B,"[0.01599116623401642, 0.015419239178299904]",Abe really enjoyed numbers and statistics. He was curious how many guns the population of Stanford owned. He sent out a survey. Abe spent weeks tallying the results.,2e874212-1f36-41bd-9928-d8ec96078ba5,A,He found the entire exercise very satisfying and interesting.,4096.0,"[27.403778076171875, 40.390254974365234]",False,-12.98647689819336,B,best_margin_when_all_wrong,False,A,stubborn_wrong_story_context
"[-22.265331268310547, -25.10909652709961]",False,-2.8437652587890625,A,False,-2.8411407470703125,A,"[-0.004017080180346966, -0.001391734927892685]","It was the last day to study before my math exam. I studied all day, without focusing on anything else. On the day of the exam, I did well. However, at home, I found a letter.",368e19bd-67a3-44b1-a148-add4428e1801,B,The letter told me I did not get accepted to college.,2048.0,"[-30.492311477661133, -27.959369659423828]",True,2.5329418182373047,B,correct_min_abs,False,A,improving_but_unflipped
"[-16.101531982421875, -27.9051570892334]",False,-11.803625106811523,A,False,-11.785247802734375,A,"[0.0030025725718587637, 0.021379884332418442]",My husband is lazy. He never wants to clean up. He likes to leave dirty dishes in the sink. i hate cleaning up his messes.,3922289b-0ae4-43d6-85ee-2b0d7bd42d4c,B,But I do it anyway because I'm afraid he will leave me.,1024.0,"[-13.026897668838501, -6.012155532836914]",True,7.014742136001587,B,correct_min_abs,False,A,improving_but_unflipped
"[-29.407413482666016, -16.191429138183594]",False,-13.215984344482422,B,False,-13.221399307250977,B,"[0.012573853135108948, 0.017987722530961037]",Ed made beef jerky for a living. He ran the business out of his garage. One day he woke up and noticed his garage jarred open. He looked inside and noticed everything in disarray.,3b1027c5-b9f8-4aca-b741-5288076d0a5a,A,Ed was shocked called the police for an investigation.,-4096.0,"[-80.90991592407227, -89.869140625]",True,8.959224700927734,A,correct_min_abs,False,A,stubborn_wrong_other
"[-23.006046295166016, -27.84328842163086]",False,-4.837242126464844,A,False,-4.847042083740234,A,"[0.008913609199225903, -0.0008875448256731033]","My family went to watch the fireworks for Independence Day. This is something that we do every year, no matter where we are. The kids love the bright bursts of light, but hate the loud bangs. My youngest fell asleep during the show.",3c256e20-6652-43e9-8ed5-de10e6c3c29e,B,We went home after a nice experience.,-512.0,"[-27.569814205169678, -27.38886547088623]",True,0.18094873428344727,B,correct_min_abs,False,A,improving_but_unflipped
"[-15.164071083068848, -14.396495819091797]",True,0.7675752639770508,B,True,0.7636899948120117,B,"[0.013637254014611244, 0.00975219439715147]",Last Saturday I decided to volunteer at the nursing home. To my surprise it was very fun. I played some checkers with the folks and read to them. The residents seemed to enjoy my company greatly.,48d12351-e074-460e-8008-05d67e07fa93,B,I plan to go back every week.,0.0,"[-15.164071083068848, -14.396495819091797]",True,0.7675752639770508,B,correct_min_abs,True,A,base_correct_control
"[-33.1665153503418, -58.547760009765625]",True,25.381244659423828,A,True,25.385780334472656,A,"[0.006384545937180519, 0.0018482282757759094]",Greg and his buddies went to the market to order a custom cake. Greg told the clerk he wanted a cake shaped like a haunted house. The clerk said they had a few haunted house designs to choose from. Greg and his buddies picked one out.,48fda842-e9a1-4c2d-b995-650e3f86d260,A,They were pleased with the cake the next day when they picked it.,0.0,"[-33.1665153503418, -58.547760009765625]",True,25.381244659423828,A,correct_min_abs,True,A,base_correct_control
"[-19.892173767089844, -16.987640380859375]",False,-2.9045333862304688,B,False,-2.9034175872802734,B,"[0.004256477579474449, 0.00314129376783967]",Cal got an ice cream making machine for his birthday. He was so excited to try it out! He added all the ingredients. Then he turned the crank and watched eagerly.,4956ea6c-f5bf-4b14-ba63-66837c13c76f,A,A big bowl of chocolate ice cream was soon ready.,4096.0,"[-2.4576416015625, -4.120901107788086]",True,1.663259506225586,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-13.849017143249512, -11.946325302124023]",False,-1.9026918411254883,B,False,-1.9198417663574219,B,"[0.0027447747997939587, 0.019894637167453766]",Alex wanted to visit a circus in town. He looked the circus up on the internet. The internet had several pages showing how circuses abused the animals. Alex was very sad when he saw the bull hooks used on the elephants.,4ba6828e-665e-48ec-99b0-c9b83c920bd6,A,He left the circus right away.,-128.0,"[-14.200348317623138, -14.492838859558105]",True,0.29249054193496704,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-15.85690689086914, -9.606284141540527]",False,-6.250622749328613,B,False,-6.2440900802612305,B,"[0.015215177088975906, 0.008682279847562313]",Martina was the goalie for her soccer team. They were up tied in the 4th quarter. With the time running out the opposing team stole the ball. The player on the other team kicked and scored.,538c6c35-cc90-4900-a418-7d3dd2df8b11,A,Martina fell to her knees and began to sob.,1024.0,"[-0.2765655517578125, -0.7156295776367188]",True,0.43906402587890625,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-21.50615692138672, -18.49379539489746]",False,-3.012361526489258,B,False,-3.0189590454101562,B,"[-0.012376068159937859, -0.005778603255748749]",Jack needed a new couch. He went to a local furniture store. He chose a lovely light beige couch. The first day home he spilled red wine on the arm of the couch.,5b97a09c-7f0e-44a5-9170-d6e244dbe732,A,He immediately applied stain remover and the stain was gone.,-512.0,"[-15.169610023498535, -15.535150527954102]",True,0.3655405044555664,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-10.03928279876709, -10.364850997924805]",True,0.32556819915771484,A,True,0.33782100677490234,A,"[0.01771271973848343, 0.0054593635722994804]","Amy liked her neighbor Brian, and hoped he would ask her out. She waited patiently, but he never mentioned a date. Finally one day Brian called and asked Amy to go to dinner. Amy was so happy, and they had a great time.",604f231c-ed86-41a7-8d43-e5864ebd7132,A,It was the beginning of a great relationship.,0.0,"[-10.03928279876709, -10.364850997924805]",True,0.32556819915771484,A,correct_min_abs,True,A,base_correct_control
"[-15.408151626586914, -13.849881172180176]",False,-1.5582704544067383,B,False,-1.5533723831176758,B,"[0.00976327620446682, 0.004865381866693497]","Peter needed a new pair of shoes. He threw on his favorite outfit and went out. He went to the mall and checked out the shops. In one shop, he found a nice pair of shoes.",60f98cc5-e612-4602-97ed-210514ab508e,A,Peter decided to buy the pair and went home.,512.0,"[-10.409354209899902, -11.358805656433105]",True,0.9494514465332031,A,correct_min_abs,False,A,improving_but_unflipped
"[-18.296051025390625, -20.52517318725586]",False,-2.2291221618652344,A,False,-2.240610122680664,A,"[-0.0021407832391560078, -0.013627391308546066]",Mina lost her purse at a restaurant. She was so unhappy! She thought she would never get her things back. But then Mina got a wonderful surprise.,63a75f76-2746-410e-b102-9dbf97c164e0,B,A stranger had found her purse and returned it to the restaurant.,-256.0,"[-17.748010516166687, -17.036561012268066]",True,0.7114495038986206,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-16.552942276000977, -13.586278915405273]",False,-2.966663360595703,B,False,-2.9654979705810547,B,"[0.006035478785634041, 0.004869914148002863]","Mustafa had never celebrated christmas as he was a muslim. One day, his boss invited him to a christmas party. Mustafa was unsure at first. Ultimately, he decided to attend the party.",63df9477-2e6b-44f1-9117-f3ca869e2f51,A,He ended up having a wonderful time with his co-workers.,4096.0,"[8.168378829956055, 6.360889434814453]",True,1.8074893951416016,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-40.59528350830078, -18.521953582763672]",False,-22.07332992553711,B,False,-22.083219528198242,B,"[0.003219033358618617, 0.01310835499316454]",Bill called a customer service line to complain about his bank. He was put on hold for 30 minutes. During this time Bill got madder and madder. Suddenly the phone clicked and Bill's call was dropped.,656d7561-b7e6-44d4-a13f-8a99a57e348e,A,Bill called the number again and yelled until he was satisfied.,-4096.0,"[-53.78044414520264, -72.21377563476562]",True,18.43333148956299,A,correct_min_abs,False,A,stubborn_wrong_other
"[-15.892112731933594, -14.921222686767578]",False,-0.9708900451660156,B,False,-0.9721975326538086,B,"[0.009575217962265015, 0.010882756672799587]",His first time at the opera. He only went after his girlfriend begged. He sat for three hours in sheer boredom. Finally it was over.,6a618bcf-441b-40ca-840a-12c3e016a7c6,A,He learned he didn't like the opera.,-1024.0,"[-25.69713592529297, -26.065165519714355]",True,0.3680295944213867,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-24.391117095947266, -25.63690948486328]",False,-1.2457923889160156,A,False,-1.2515125274658203,A,"[0.014317755587399006, 0.008597551845014095]",Sara really wanted a new dress for prom. However she could not afford one. She decided to make her own. She gathered the materials and set to work.,6e5cfaaa-d743-4cb8-8563-98c4ce46051e,B,Sara had no skills and the dress was a mess.,-256.0,"[-28.05646252632141, -27.83788275718689]",True,0.21857976913452148,B,correct_min_abs,False,A,stubborn_wrong_other
"[-19.423961639404297, -44.79987716674805]",True,25.37591552734375,A,True,25.37047576904297,A,"[0.01527793426066637, 0.020715801045298576]",Neil was touring the Greek islands. He had rented a small motorboat. He traveled from island to island. Neil was having a wonderful time.,744cc602-3e57-4a9e-8b4c-97f72793b3c3,A,"He loved the clean, fresh air.",0.0,"[-19.423961639404297, -44.79987716674805]",True,25.37591552734375,A,correct_min_abs,True,A,base_correct_control
"[-14.188746452331543, -19.147113800048828]",False,-4.958367347717285,A,False,-4.95196533203125,A,"[0.0018703329842537642, 0.008272219449281693]",Kyle hated the bologna sandwich his mom had given him for lunch. He looked around to see what his friends had. His best friend had peanut butter and jelly! Kyle asked if they could trade.,7c089225-e1b5-4677-99d6-5defca6b879a,B,He was happy that his friend agreed to the swap.,1024.0,"[-12.273525476455688, -10.676361083984375]",True,1.5971643924713135,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-21.841312408447266, -34.44717025756836]",False,-12.605857849121094,A,False,-12.592161178588867,A,"[-0.01735558919608593, -0.0036591419484466314]",Lulu and Jill had been friends for Years. However this summer they had a disagreement. The fight ruined their friendship. Lulu was not sure they could be friends again.,7c26b026-1e00-4cf7-a823-0fad7212a8c1,B,"Jill reached out, however, and they repaired their relationship.",1024.0,"[-39.61343574523926, -38.19413161277771]",True,1.4193041324615479,B,correct_min_abs,False,A,improving_but_unflipped
"[-22.062633514404297, -12.574014663696289]",False,-9.488618850708008,B,False,-9.477073669433594,B,"[0.014978411607444286, 0.0034327665343880653]",Janet was excited to get some pancakes. Her favorite fast food joint served them all day. She went there after work. When she got there they told her they were out.,81607ad0-83c4-4c23-ad7c-789a149d97c8,A,Janet had a huge look of disappointment on her face.,1024.0,"[-6.724740028381348, -9.05886173248291]",True,2.3341217041015625,A,correct_min_abs,False,A,improving_but_unflipped
"[-27.546707153320312, -24.17304229736328]",False,-3.3736648559570312,B,False,-3.4035778045654297,B,"[-0.04028262197971344, -0.010369769297540188]",Jane visited Old Navy to purchase new jeans. She was excited by their selection. She chose 9 pair of jeans to try on. To her dismay none of the jeans fit.,845de64c-93fe-4398-8e50-b828146b18ec,A,Jane left Old Navy to try jeans on at another store.,-128.0,"[-22.390531539916992, -22.845711827278137]",True,0.455180287361145,A,correct_min_abs,False,A,stubborn_wrong_other
"[-53.635746002197266, -20.214805603027344]",True,33.42094039916992,B,True,33.436662673950195,B,"[0.005278225522488356, 0.021002553403377533]",Ron only had one air conditioner. And it didn't cool off his entire house. He invested in a powerful fan. And it help blow cool air to his room.,8590275a-2bfd-4259-b7bf-a2005157b820,B,Now his house can stay cool all summer.,0.0,"[-53.635746002197266, -20.214805603027344]",True,33.42094039916992,B,correct_min_abs,True,A,base_correct_control
"[-19.722900390625, -19.11618423461914]",False,-0.6067161560058594,B,False,-0.5924606323242188,B,"[0.012265319004654884, -0.0019893611315637827]","Seven men went to the river. Joe was the youngest, full of pride. He jumped in the water, even though he knew that he couldn't swim well. The tide was too strong for him.",859a188c-b220-4566-80d0-9b10219f02b2,A,The oldest man had to save Joe.,64.0,"[-18.937919974327087, -19.243503347039223]",True,0.3055833727121353,A,correct_min_abs,False,A,improving_but_unflipped
"[-15.323752403259277, -20.417709350585938]",False,-5.09395694732666,A,False,-5.099732398986816,A,"[0.014126199297606945, 0.008351009339094162]",Last night was spent facedown on the bar. I was having a wonderful time until the tenth shot. That was about the time I realized I drank too much. I dance with a man's wife and I kiss his mom.,87e225ce-9096-4442-aa10-36e4ad86ec6b,B,I was so embarrassed after the kiss.,-1024.0,"[-29.78898048400879, -28.96914291381836]",True,0.8198375701904297,B,correct_min_abs,False,A,stubborn_wrong_other
"[-24.67742347717285, -22.680936813354492]",False,-1.9964866638183594,B,False,-1.9917564392089844,B,"[0.006484072655439377, 0.0017545963637530804]",The new accountant got confused where his desk was. He found his supervisor and asked her where he was to be seated. She walked him to his stationed desk. He sat down and then asked her about the recent assignment.,88d08dc2-59da-4922-9d9b-309d44974a5b,A,The new accountant wanted to adjust to his surroundings.,512.0,"[-21.35757827758789, -21.782583475112915]",True,0.4250051975250244,A,correct_min_abs,False,A,improving_but_unflipped
"[-27.777202606201172, -24.56039047241211]",False,-3.2168121337890625,B,False,-3.224750518798828,B,"[0.001226191408932209, 0.009164166636765003]",An old rich man owned an island. He built a great zoo there. The zoo had unusual animals that nobody had ever seen before. A hurricane struck the island and many of the animals were set free.,8b41f6e2-f6fe-4f31-ab92-084e30052441,A,"The man quickly tried to round them all up, but it was difficult.",-512.0,"[-28.405012607574463, -29.25244379043579]",True,0.8474311828613281,A,correct_min_abs,False,A,improving_but_unflipped
"[-9.920900344848633, -17.671283721923828]",False,-7.750383377075195,A,False,-7.758475303649902,A,"[0.009569656103849411, 0.0014778943732380867]","Eddie's dad took him to a wrestling show. Eddie loved the whole show! Afterwards, he got a wrestler's autograph. He decided wrestlers were the best guys ever.",8c7ee998-1fb8-41a1-8c84-6acceff23dcf,B,Eddie had the best day with his dad!,-1024.0,"[-19.72022819519043, -19.18464756011963]",True,0.5355806350708008,B,correct_min_abs,False,A,improving_but_unflipped
"[-26.385847091674805, -20.903520584106445]",False,-5.482326507568359,B,False,-5.485170364379883,B,"[-0.007126276381313801, -0.004281934350728989]","Mick wanted a cool jean jacket like his friends had. He wanted to be stylish like them, but he was broke. Then he went to a secondhand store and saw a great jean jacket. It was only six dollars!",8ee3dc14-fade-4bf1-8ac1-13624af59672,A,Mick asked his mother to loan him six dollars for the jacket.,-2048.0,"[-11.79123306274414, -12.134119033813477]",True,0.34288597106933594,A,correct_min_abs,False,A,stubborn_wrong_other
"[-18.7561092376709, -21.531742095947266]",False,-2.775632858276367,A,False,-2.785053253173828,A,"[0.001599400769919157, -0.007820071652531624]",Gina had been working on a report when her friend called. Gina didn't have a lot of time to finish the report. But when her friend suggested they meet at the park she agreed. Gina figured she still had a whole day and a half to finish the report,95486114-97f8-47ed-8e53-d868d3ec0643,B,"When she got home from the park, Gina was too tired to work.",-512.0,"[-19.575002431869507, -17.527865409851074]",True,2.0471370220184326,B,correct_min_abs,False,A,improving_but_unflipped
"[-24.228097915649414, -24.60734748840332]",False,-0.37924957275390625,A,False,-0.3643169403076172,A,"[-0.0034828418865799904, 0.011450265534222126]",Brad was camping in the mountains with his friends. They roasted marshmallows all night. When they woke up in the morning there was a bobcat in the camp! Brad was scared to come out of his tent.,981447a3-b34d-43cf-b417-02207d1c1421,B,The bobcat was actually his friend in a costume.,32.0,"[-24.339548856019974, -24.240938991308212]",True,0.09860986471176147,B,correct_min_abs,False,A,improving_but_unflipped
"[-21.31879425048828, -20.366243362426758]",True,0.9525508880615234,B,True,0.9625587463378906,B,"[0.0031441824976354837, 0.013151452876627445]","Jen wanted all of her family to be together for Christmas. She planned a fun party and invited everyone. All of her friends showed up, but not her family. Jen was very sad.",9825a8de-7f92-4cd7-8165-e9755209cc21,B,Jen decided to make the best of what she had.,0.0,"[-21.31879425048828, -20.366243362426758]",True,0.9525508880615234,B,correct_min_abs,True,A,base_correct_control
"[-11.160139083862305, -16.43613052368164]",False,-5.275991439819336,A,False,-5.2689619064331055,A,"[-0.0025585098192095757, 0.004471245687454939]","Kate was having a school fundraiser for Krispy Kreme Doughnuts. Kate was selling the doughnuts for band uniforms. In addition, the top seller would get a monetary prize. Kate worked hard over the next two weeks selling doughnuts.",9f8aab3c-1a0f-4eed-8b64-e608fa9a4543,B,Kate won one hundred dollars.,1024.0,"[-13.78005313873291, -11.857574939727783]",True,1.922478199005127,B,correct_min_abs,False,A,improving_but_unflipped
"[-43.64849853515625, -6.992224216461182]",True,36.65627431869507,B,True,36.66901206970215,B,"[0.0064066145569086075, 0.019142400473356247]",Gray wanted to be a weightlifter. He practiced at the gym after school. He lifted heavier and heavier weights. Soon he was confident in his abilities.,9fd936f2-43de-447c-901b-f11036de58f0,B,He won a weightlifting competition.,0.0,"[-43.64849853515625, -6.992224216461182]",True,36.65627431869507,B,correct_min_abs,True,A,base_correct_control
"[-19.182138442993164, -18.409263610839844]",False,-0.7728748321533203,B,False,-0.7576103210449219,B,"[0.01137932762503624, -0.0038861758075654507]","Neil stared in horror at his plate. The slimy pile of eggplant seemed to stare back at him. No way could he eat that! Spying his dog under the table, he began slipping pieces to it.",9ff1fcea-3214-4e1f-8383-c201d09cc798,A,Neil fed the dog all of his eggplant.,64.0,"[-18.453861474990845, -18.657978862524033]",True,0.20411738753318787,A,correct_min_abs,False,A,improving_but_unflipped
"[-19.596158981323242, -26.392528533935547]",False,-6.796369552612305,A,False,-6.784452438354492,A,"[-0.0039095189422369, 0.00800775270909071]",Amy was happy it was Saturday. She didn't want to go to school and face her friends. They All wanted to hear about the big game. That was the last thing she wanted to discuss.,a498bb68-d354-4ee2-ab8b-7610d6947d79,B,Amy avoided her friends and talking about the big game.,1024.0,"[-23.599506378173828, -18.19258975982666]",True,5.406916618347168,B,correct_min_abs,False,A,stubborn_wrong_other
"[-40.27577209472656, -31.902114868164062]",False,-8.3736572265625,B,False,-8.353015899658203,B,"[0.009850660338997841, -0.010791424661874771]","Tim's truck needed an oil change. He decided to do it himself to save some money. Under the truck, he loosened the plug on the oil pan. Suddenly, oil poured everywhere!",a7c449d7-d15f-484f-8324-358d55a798a4,A,"It created such a mess, maybe it wasn't worth saving the money.",512.0,"[-35.23223400115967, -37.427324295043945]",True,2.1950902938842773,A,correct_min_abs,False,A,stubborn_wrong_other
"[-21.775157928466797, -10.893509864807129]",False,-10.881648063659668,B,False,-10.864765167236328,B,"[0.00402987003326416, -0.012852435000240803]",Kim was going to the mall with her aunt to see Santa. They arrived at the mall and could see the line from the parking lot. They waited in line for two hours. When it was Kim's turn she was afraid of Santa.,a8c3c60b-15e4-4360-b09c-6f79b602198a,A,Kim insisted her mother come with her.,1024.0,"[-17.648571014404297, -24.05440330505371]",True,6.405832290649414,A,correct_min_abs,False,A,improving_but_unflipped
"[-31.585031509399414, -28.107994079589844]",False,-3.4770374298095703,B,False,-3.478006362915039,B,"[0.006778188981115818, 0.007746949791908264]",Sarah was out with her friends. She had been watching a movie at the theater. Sarah lost track of time and arrived back at home late. She missed her curfew by a few hours.,a97d10d8-66b2-4030-8269-37dfdad9e6b8,A,Sarah's parents were upset and moved her curfew even earlier.,-4096.0,"[-59.348493576049805, -59.839500427246094]",True,0.49100685119628906,A,correct_min_abs,False,A,stubborn_wrong_other
"[-18.748767852783203, -17.593814849853516]",True,1.1549530029296875,B,True,1.1503829956054688,B,"[0.01516153384000063, 0.010591654106974602]",My girlfriend is easily scared. I love watching horror movies. I convinced her to watch one with me. She yelled at one scene and spilled her soda everywhere.,aa775b2b-0abd-44b2-a058-3ba4368831b1,B,I watched the rest of the movie by myself.,0.0,"[-18.748767852783203, -17.593814849853516]",True,1.1549530029296875,B,correct_min_abs,True,A,base_correct_control
